RR,DET,NRLINE,maxL,L,ENTR,rENTR,LAM,TT,metric,group,condition,radius
0.0012664479933131546,52.77777777777778,9,3,2.111111111111111,0.34883209584303193,0.5032583347756457,72.22222222222221,2.3636363636363638,hr1S,1,Conversation,1.458638
0.08693885358916531,93.56395816572808,398,50,5.844221105527638,2.0809389958356594,0.6244931814602958,96.62107803700724,6.902298850574713,hr1S,2,Conversation,1.458638
0.03400596931805327,83.4186284544524,178,36,4.578651685393258,1.955428771542885,0.6901805596974083,89.86693961105425,5.453416149068323,hr1S,4,Conversation,1.458638
0.03140304523894149,82.1590909090909,162,9,4.462962962962963,1.865166575065655,0.896955522759691,86.5909090909091,6,hr1S,5,Conversation,1.458638
5.052667319920411e-4,NA,0,0,0,NA,NA,0,0,hr1S,6,Conversation,1.458638
0.043351897092937124,94.64831804281346,166,53,7.457831325301205,2.250541485891871,0.6683527671820004,96.86544342507645,8.922535211267606,hr1S,7,Conversation,1.458638
0.11359905683294817,89.2459826946848,582,52,6.202749140893471,2.3120228849006095,0.6556399632882883,95.30284301606922,7.772177419354839,hr1S,8,Conversation,1.458638
0.010804695593590909,56.34674922600619,73,4,2.493150684931507,0.8262548318274809,0.7520895591193337,71.51702786377709,2.8518518518518516,hr1S,9,Conversation,1.458638
0.0029341247086833327,46.42857142857143,19,3,2.0526315789473686,0.20619205063323187,0.2974722489192897,51.19047619047619,2.0476190476190474,hr1S,10,Conversation,1.458638
0.05666831751540522,89.42265315116792,362,30,5.604972375690608,2.087969245166277,0.8140391696593516,91.49405024239753,6.569620253164557,hr1S,1,Synchronous,1.458638
0.010884009997587674,72.1311475409836,72,5,3.0555555555555554,1.120278237512475,0.808109928837538,77.04918032786885,3.263888888888889,hr1S,2,Synchronous,1.458638
0.0029402273297715943,19.51219512195122,8,2,2,-0,NaN,71.95121951219512,2.5652173913043477,hr1S,4,Synchronous,1.458638
0.004266915271253899,82.35294117647058,32,6,3.0625,1.3046523537037127,0.8106260848115399,91.59663865546219,3.303030303030303,hr1S,5,Synchronous,1.458638
0.011279110910905917,86.91588785046729,70,17,3.9857142857142858,1.616875460833282,0.7358717345103989,90.96573208722741,4.866666666666666,hr1S,6,Synchronous,1.458638
0.0557237117057788,77.33585858585859,321,19,3.8161993769470404,1.7890234189905203,0.6974887881455367,90.3409090909091,4.349544072948328,hr1S,7,Synchronous,1.458638
0.05121334440687605,84.61538461538461,326,12,3.7116564417177913,1.6412717100352139,0.7127952469722074,90.55944055944056,4.245901639344262,hr1S,8,Synchronous,1.458638
0.003417165392963229,60,57,2,2,-0,NaN,63.1578947368421,2,hr1S,9,Synchronous,1.458638
0.04001458182625982,89.5017793594306,227,19,4.431718061674009,1.948650054877041,0.8126501924343612,92.08185053380782,5.880681818181818,hr1S,10,Synchronous,1.458638
0.022281898679053565,89.08794788273615,97,21,5.639175257731959,2.169243944037287,0.8729679822066377,93.32247557003257,7.64,hr1S,1,TurnTaking,1.458638
0.10217960912434394,92.2627235213205,494,45,5.431174089068826,2.0951492102282545,0.6993779880545439,93.6038514442916,6.961636828644501,hr1S,2,TurnTaking,1.458638
0.008021365305824101,64.93506493506493,44,6,3.409090909090909,1.3756381526224832,0.8547320415373959,93.5064935064935,4.235294117647059,hr1S,4,TurnTaking,1.458638
3.8377684562646166e-4,NA,0,0,0,NA,NA,0,0,hr1S,5,TurnTaking,1.458638
3.4602076124567473e-4,NA,0,0,0,NA,NA,0,0,hr1S,6,TurnTaking,1.458638
0.011179814415080709,61.23076923076923,79,7,2.518987341772152,0.8255008798861562,0.46072081329186854,82.15384615384616,2.8105263157894735,hr1S,7,TurnTaking,1.458638
0.13007696451525155,93.63621453173691,890,51,6.414606741573034,2.396849041597566,0.6637783243990687,96.24405445300968,7.670588235294118,hr1S,8,TurnTaking,1.458638
0.018156082501238884,79.80392156862746,145,6,2.806896551724138,0.9949182767119742,0.6181774823529963,82.94117647058825,2.82,hr1S,9,TurnTaking,1.458638
6.9878206943844e-4,NA,0,0,0,NA,NA,0,0,hr1S,10,TurnTaking,1.458638
3.9467363397707733,81.66163048840652,32975,26,3.212676269901441,1.508984781767107,0.48817989546783636,92.07958189442526,3.777050528046544,resp1S,1,Conversation,0.4078281
3.813744960854722,84.98123745527533,30711,37,3.4879359187261896,1.6475799233436104,0.46340889692060216,93.11696245111028,4.758300563505898,resp1S,2,Conversation,0.4078281
4.805999607191528,78.60088752945896,40055,27,3.130770190987392,1.4531069525931615,0.47010255424166325,90.02594895452039,3.69060588930572,resp1S,4,Conversation,0.4078281
3.8512443423220057,73.4059670666592,31519,17,2.909292807512929,1.3052015254103684,0.4707519420175622,85.04791104635804,3.468640830585393,resp1S,5,Conversation,0.4078281
4.213498904309715,87.3889617008883,33332,38,3.7807812312492497,1.7805090323867214,0.49309042062462166,97.35449735449735,5.606261480712403,resp1S,6,Conversation,0.4078281
4.078174215771151,81.24788279132791,36479,20,3.1559253269004084,1.474923585848262,0.5009183740210528,91.8064024390244,4.114301979884876,resp1S,7,Conversation,0.4078281
3.991054672900422,82.35722889705656,41974,57,3.176347262591128,1.457006067065768,0.38502459126424415,95.43070698335238,4.544299329332863,resp1S,8,Conversation,0.4078281
3.7729741843787155,83.5753141133655,33944,36,3.200035352345039,1.5017320849915063,0.46092313946702484,92.96524555855628,4.340014367816092,resp1S,9,Conversation,0.4078281
3.646742693110805,81.64293646715619,31806,23,3.0972772432874303,1.4378753001770679,0.4722827075803244,91.55160696822529,4.6197724991635996,resp1S,10,Conversation,0.4078281
4.876088246933122,87.30707220752872,47803,45,4.0328222078112255,1.897661500541207,0.5381359867473461,91.868501141263,4.38411497730711,resp1S,1,Synchronous,0.4078281
4.01396472624099,77.28749510357382,30126,25,3.34017128062139,1.5757084274873723,0.5175552027350557,94.5152346060201,4.694822784327191,resp1S,2,Synchronous,0.4078281
4.191862465390131,80.08480836854703,29600,31,3.6623648648648652,1.7475011479222673,0.5739820230160568,85.06028190656303,3.886616033755274,resp1S,4,Synchronous,0.4078281
4.288945063636327,76.76156506545173,29453,26,3.6096153193223097,1.7149378377016908,0.546943390611071,91.40715817442725,4.671857701675401,resp1S,5,Synchronous,0.4078281
4.317758849764601,80.19284909909909,27311,48,4.171872139430998,1.9360600682493305,0.5284638980470474,88.93651463963964,4.872594763428836,resp1S,6,Synchronous,0.4078281
4.0282704217776315,76.28466557911908,28734,47,3.5152432658174986,1.6736074264510856,0.5586638836939856,87.5815660685155,3.8419361250993904,resp1S,7,Synchronous,0.4078281
3.958854294909311,74.43156068822178,31726,23,3.002553111013049,1.3747585359439545,0.49583933055652873,92.54504539700895,4.76604563196652,resp1S,8,Synchronous,0.4078281
2.9213186564052323,84.97267153737846,43629,23,3.5134658140227826,1.6809009925646439,0.5610985358750049,93.82587390104104,4.819476082004556,resp1S,9,Synchronous,0.4078281
4.232638706242047,82.14760710781643,30615,39,3.692013718765311,1.7552370607000065,0.5325618748927791,91.02220284167302,4.810893865478432,resp1S,10,Synchronous,0.4078281
3.728194267558807,66.07954306832976,26905,18,2.924028990893886,1.2859352492619622,0.45387872112056765,82.1527865272353,3.2578442475517955,resp1S,1,TurnTaking,0.4078281
3.9133640228092417,89.10874173933976,32685,25,3.5107235735046656,1.6765798096096882,0.5275492169451799,96.65846101278996,5.293442204644042,resp1S,2,TurnTaking,0.4078281
4.476707977454601,77.72510893721591,36771,28,3.1482146256560872,1.4533624594398085,0.45731209634063646,89.07807894507147,3.5617600472495905,resp1S,4,TurnTaking,0.4078281
3.8264098538823816,70.81722500118347,30921,19,2.902816855858478,1.2819987997428732,0.4524893271565207,85.13325864327079,3.171845145359946,resp1S,5,TurnTaking,0.4078281
4.088403318344998,77.56763490342058,29414,52,3.5987964914666484,1.663899155454574,0.4643199000844217,94.16200134830144,5.010762331838565,resp1S,6,TurnTaking,0.4078281
3.8574302549531856,85.90264475066428,33221,33,3.3476716534722013,1.5838484354307445,0.4861269201042629,92.44114193907187,4.035404794820784,resp1S,7,TurnTaking,0.4078281
4.111539035540571,74.83355710912542,54967,19,2.94054614586934,1.3132959665490571,0.4543692218695684,93.78767535534053,4.353110561942624,resp1S,8,TurnTaking,0.4078281
5.954763875699864,92.87367366126315,43624,36,4.121194755180634,1.9426996116383966,0.5509078263771275,96.54661170174296,5.236271433374426,resp1S,9,TurnTaking,0.4078281
3.828272845505657,81.09820656871219,50097,24,2.9967662734295466,1.371226869992603,0.4657005560973765,93.62197493517718,4.949537354352296,resp1S,10,TurnTaking,0.4078281
